"","","Model Comparison","","","","","Model Estimate","",""
"X","Term","BIC","Log Likelihood Difference","Chi Squared","Df","p","Estimate","z","p"
"m1","Linear","21414.2","91","182.1","1","< 0.001","-31.87","-20.518","< 0.001"
"m2","Quadratic","21317.9","51.7","103.5","1","< 0.001","64.16","18.523","< 0.001"
"m3","Cubic","21050.1","137.4","274.8","1","< 0.001","-39.2","-17.165","< 0.001"
"m1","Linear","21379.5","108.4","216.8","1","< 0.001","-29.11","-16.209","< 0.001"
"m2","Quadratic","21276.2","55.2","110.3","1","< 0.001","63.88","14.413","< 0.001"
"m3","Cubic","21104.9","89.2","178.3","1","< 0.001","-39.31","-13.199","< 0.001"
"m1","Linear","21406.3","95","190.1","1","< 0.001","-7.47","-5.138","< 0.001"
"m2","Quadratic","21389.7","11.8","23.6","1","< 0.001","10.77","2.829","0.005"
"m3","Cubic","21393.1","1.8","3.7","1","0.056","-5.41","-2.017","0.044"
